B_rad vs Angle
Distance*360/2/pi/17.5e-3 [meter]
BN3 []
__cartesian__ 0 0 0.000000 -0.556325 360.000000 0.556066
__settings__ 1 0 0 0 11 11 0 0 0 0
200.88 0.198126
201.24 0.201437
201.6 0.204751
201.96 0.208068
202.32 0.211387
202.68 0.214642
203.04 0.217653
203.4 0.220682
203.76 0.223911
204.12 0.227155
204.48 0.23041
204.84 0.233675
205.2 0.236861
205.56 0.240028
205.92 0.243207
206.28 0.246397
206.64 0.249382
207 0.252429
207.36 0.255585
207.72 0.258746
208.08 0.261912
208.44 0.264908
208.8 0.26787
209.16 0.271015
209.52 0.27415
209.88 0.277273
210.24 0.280332
210.6 0.283095
210.96 0.285868
211.32 0.288852
211.68 0.29185
212.04 0.294844
212.4 0.297832
212.76 0.300816
213.12 0.303793
213.48 0.306763
213.84 0.309726
214.2 0.312681
214.56 0.315487
214.92 0.318324
215.28 0.321206
215.64 0.324134
216 0.32702
216.36 0.329833
216.72 0.33264
217.08 0.335441
217.44 0.338029
217.8 0.340698
218.16 0.343482
218.52 0.34627
218.88 0.349062
219.24 0.351857
219.6 0.354653
219.96 0.357452
220.32 0.360157
220.68 0.362526
221.04 0.365072
221.4 0.367676
221.76 0.37029
222.12 0.372914
222.48 0.375547
222.84 0.37819
223.2 0.380842
223.56 0.383437
223.92 0.385892
224.28 0.388325
224.64 0.390759
225 0.393194
225.36 0.395631
225.72 0.398068
226.08 0.400508
226.44 0.40295
226.8 0.405356
227.16 0.407728
227.52 0.410102
227.88 0.412476
228.24 0.41485
228.6 0.417222
228.96 0.419592
229.32 0.421957
229.68 0.424122
230.04 0.426216
230.4 0.428443
230.76 0.430673
231.12 0.432905
231.48 0.435138
231.84 0.437372
232.2 0.439604
232.56 0.441736
232.92 0.443657
233.28 0.445761
233.64 0.447867
234 0.449972
234.36 0.452078
234.72 0.454183
235.08 0.456287
235.44 0.458186
235.8 0.460053
236.16 0.461986
236.52 0.463913
236.88 0.465835
237.24 0.467752
237.6 0.469665
237.96 0.471573
238.32 0.473455
238.68 0.475148
239.04 0.476858
239.4 0.478585
239.76 0.480328
240.12 0.482086
240.48 0.483859
240.84 0.485646
241.2 0.487377
241.56 0.489007
241.92 0.490704
242.28 0.492375
242.64 0.494021
243 0.495643
243.36 0.497241
243.72 0.498815
244.08 0.500368
244.44 0.501762
244.8 0.503227
245.16 0.504684
245.52 0.506132
245.88 0.507573
246.24 0.509004
246.6 0.510427
246.96 0.511841
247.32 0.513189
247.68 0.514449
248.04 0.515713
248.4 0.516984
248.76 0.518262
249.12 0.519546
249.48 0.520837
249.84 0.522135
250.2 0.523441
250.56 0.52455
250.92 0.525594
251.28 0.526638
251.64 0.527684
252 0.528731
252.36 0.52978
252.72 0.530831
253.08 0.531883
253.44 0.532937
253.8 0.533994
254.16 0.535054
254.52 0.53612
254.88 0.537046
255.24 0.53775
255.6 0.538587
255.96 0.539459
256.32 0.540367
