B_rad vs Angle
Distance*360/2/pi/17.5e-3 [meter]
BN3 []
__cartesian__ 0 0 0.000000 -0.475531 360.000000 0.475519
__settings__ 1 0 0 0 11 11 0 0 0 0
164.88 -0.354581
165.24 -0.35065
165.6 -0.346657
165.96 -0.342616
166.32 -0.338338
166.68 -0.333879
167.04 -0.329273
167.4 -0.324566
167.76 -0.319687
168.12 -0.314577
168.48 -0.309167
168.84 -0.303618
169.2 -0.29803
169.56 -0.292235
169.92 -0.285924
170.28 -0.279471
170.64 -0.272878
171 -0.266167
171.36 -0.258858
171.72 -0.251491
172.08 -0.244072
172.44 -0.236211
172.8 -0.227549
173.16 -0.218713
173.52 -0.209705
173.88 -0.200527
174.24 -0.191183
174.6 -0.181674
174.96 -0.172503
175.32 -0.161508
175.68 -0.150407
176.04 -0.139066
176.4 -0.12748
176.76 -0.115643
177.12 -0.103898
177.48 -0.091872
177.84 -0.0793237
178.2 -0.0666549
178.56 -0.0531798
178.92 -0.039712
179.28 -0.0269449
179.64 -0.0134476
180 0.000100419
180.36 0.013304
180.72 0.0262261
181.08 0.0397946
181.44 0.0534368
181.8 0.0667614
182.16 0.0790689
182.52 0.0913641
182.88 0.103649
183.24 0.115924
183.6 0.128192
183.96 0.139388
184.32 0.150216
184.68 0.160923
185.04 0.171513
185.4 0.181987
185.76 0.192324
186.12 0.201522
186.48 0.210175
186.84 0.218826
187.2 0.227396
187.56 0.235884
187.92 0.244287
188.28 0.252089
188.64 0.259005
189 0.265846
189.36 0.272611
189.72 0.279299
190.08 0.28591
190.44 0.292128
190.8 0.297874
191.16 0.303514
191.52 0.309045
191.88 0.314461
192.24 0.319445
192.6 0.324441
192.96 0.32962
193.32 0.334442
193.68 0.338413
194.04 0.342414
194.4 0.346443
194.76 0.350638
195.12 0.354476
195.48 0.358139
195.84 0.361737
196.2 0.365269
196.56 0.368737
196.92 0.371759
197.28 0.374912
197.64 0.378122
198 0.381389
198.36 0.384527
198.72 0.386895
199.08 0.389329
199.44 0.391829
199.8 0.394355
200.16 0.396762
200.52 0.399156
200.88 0.401537
201.24 0.403843
201.6 0.40607
201.96 0.408171
202.32 0.409972
202.68 0.411795
203.04 0.41364
203.4 0.415615
203.76 0.417565
204.12 0.419124
204.48 0.42064
204.84 0.422272
205.2 0.423962
205.56 0.425687
205.92 0.427068
206.28 0.428379
206.64 0.429754
207 0.431198
207.36 0.432542
207.72 0.433773
208.08 0.434991
208.44 0.436208
208.8 0.437396
209.16 0.438536
209.52 0.439642
209.88 0.440614
210.24 0.441598
210.6 0.442595
210.96 0.443732
211.32 0.44464
211.68 0.445495
212.04 0.446347
212.4 0.447197
212.76 0.448072
213.12 0.448904
213.48 0.449653
213.84 0.450407
214.2 0.451166
214.56 0.451929
214.92 0.452608
215.28 0.45322
215.64 0.45384
216 0.454468
216.36 0.455103
216.72 0.455746
217.08 0.456395
217.44 0.45705
217.8 0.457634
218.16 0.458105
218.52 0.458567
218.88 0.459039
219.24 0.459522
219.6 0.460016
219.96 0.46052
220.32 0.461034
220.68 0.461518
221.04 0.461943
221.4 0.462283
221.76 0.462635
222.12 0.462998
222.48 0.463374
222.84 0.463761
223.2 0.46416
223.56 0.464564
223.92 0.46494
224.28 0.465186
224.64 0.465446
225 0.46572
225.36 0.466008
225.72 0.46631
226.08 0.466626
226.44 0.466956
226.8 0.467265
227.16 0.467457
227.52 0.467663
227.88 0.467882
228.24 0.468116
228.6 0.468363
228.96 0.468623
229.32 0.468898
229.68 0.469148
230.04 0.469327
230.4 0.46947
230.76 0.469628
231.12 0.4698
231.48 0.469986
231.84 0.470187
232.2 0.470402
232.56 0.470613
232.92 0.470807
233.28 0.470897
233.64 0.471001
234 0.47112
234.36 0.471252
234.72 0.471397
235.08 0.471557
235.44 0.471731
235.8 0.471903
236.16 0.471984
236.52 0.472052
236.88 0.472133
237.24 0.472229
237.6 0.472338
237.96 0.472462
238.32 0.4726
238.68 0.472753
239.04 0.472814
239.4 0.472874
239.76 0.472945
240.12 0.473027
240.48 0.47312
240.84 0.473225
241.2 0.473341
241.56 0.47344
241.92 0.473495
242.28 0.473532
242.64 0.473583
243 0.473649
243.36 0.473729
243.72 0.473822
244.08 0.47393
244.44 0.474022
244.8 0.474067
245.16 0.474072
245.52 0.474092
245.88 0.474127
246.24 0.474176
246.6 0.47424
246.96 0.474319
247.32 0.474397
247.68 0.474436
248.04 0.474441
248.4 0.474455
248.76 0.47448
249.12 0.474515
249.48 0.47456
249.84 0.474615
250.2 0.47468
250.56 0.474694
250.92 0.4747
251.28 0.474719
251.64 0.474751
252 0.474796
252.36 0.474854
252.72 0.474925
253.08 0.474935
253.44 0.474941
253.8 0.474959
254.16 0.474988
254.52 0.475029
254.88 0.475081
255.24 0.475094
255.6 0.475078
255.96 0.475076
256.32 0.475089
256.68 0.475115
257.04 0.475156
257.4 0.475212
257.76 0.47522
258.12 0.475197
258.48 0.475191
258.84 0.475204
259.2 0.475237
259.56 0.475289
259.92 0.475287
260.28 0.475256
260.64 0.475252
261 0.475276
261.36 0.475328
261.72 0.475409
262.08 0.475519
262.44 0.475492
262.8 0.475403
263.16 0.475348
263.52 0.475327
263.88 0.475364
264.24 0.475434
264.6 0.475376
264.96 0.475357
265.32 0.475384
265.68 0.475439
266.04 0.475424
266.4 0.475403
266.76 0.475399
267.12 0.475402
267.48 0.475413
267.84 0.475431
268.2 0.475455
268.56 0.475438
268.92 0.475418
269.28 0.47541
269.64 0.475414
270 0.47543
270.36 0.475459
270.72 0.475448
271.08 0.475425
271.44 0.475414
271.8 0.475413
272.16 0.475424
272.52 0.475445
272.88 0.475457
273.24 0.475418
273.6 0.475393
273.96 0.475386
274.32 0.475395
274.68 0.475422
275.04 0.475467
275.4 0.475483
275.76 0.475414
276.12 0.475359
276.48 0.475318
276.84 0.475291
277.2 0.475278
277.56 0.475279
277.92 0.475299
278.28 0.475331
278.64 0.475376
279 0.475433
279.36 0.475391
279.72 0.475313
280.08 0.475254
280.44 0.475212
280.8 0.475189
281.16 0.475185
281.52 0.475201
281.88 0.475232
